               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06208,             0.14003,            0.011894,             0.95363,             0.43382,             0.50208,             0.20065,            0.031423,            0.074543,           0.0029071,           0.0033297,           0.0033297,            0.070032
                   1,            0.043116,               0.127,           0.0052183,             0.64365,             0.59558,             0.59156,             0.27314,              0.0266,            0.063448,            0.002279,           0.0066629,           0.0066629,            0.040032
                   2,            0.040233,             0.12311,           0.0042726,             0.76954,             0.59985,             0.64108,             0.28891,            0.024255,            0.064014,           0.0018904,           0.0099954,           0.0099954,            0.010031
                   3,            0.036629,             0.12252,           0.0037055,             0.81221,             0.62359,             0.69841,             0.33231,             0.02395,            0.060678,           0.0013936,           0.0099978,           0.0099978,           0.0099978
                   4,            0.033988,             0.11892,           0.0031875,             0.79895,             0.68628,             0.75243,             0.38522,            0.020476,            0.058614,           0.0012761,           0.0099978,           0.0099978,           0.0099978
                   5,            0.032217,             0.11657,           0.0028902,              0.7903,             0.68551,             0.75444,             0.38183,            0.019608,            0.059581,           0.0012004,           0.0099961,           0.0099961,           0.0099961
                   6,            0.031222,             0.11454,            0.002914,             0.81683,             0.70062,             0.77889,             0.40474,            0.018149,            0.055193,           0.0010021,           0.0099938,           0.0099938,           0.0099938
                   7,            0.030075,             0.11366,           0.0025149,             0.76258,             0.71695,             0.77477,              0.4087,              0.0185,            0.058616,           0.0010633,           0.0099911,           0.0099911,           0.0099911
                   8,             0.02882,              0.1104,           0.0023634,             0.82276,             0.68483,             0.76765,             0.46537,            0.016946,            0.049535,          0.00093561,           0.0099879,           0.0099879,           0.0099879
                   9,            0.027464,             0.10871,           0.0023885,             0.83468,             0.78161,             0.83661,             0.56452,            0.014622,            0.046471,          0.00093903,           0.0099842,           0.0099842,           0.0099842
                  10,            0.026231,             0.10468,           0.0024046,             0.86107,             0.76497,             0.83628,             0.59227,            0.013112,            0.042301,          0.00086028,             0.00998,             0.00998,             0.00998
                  11,            0.024712,             0.10319,           0.0022878,             0.84649,              0.7661,              0.8374,             0.60514,             0.01226,            0.041996,          0.00093008,           0.0099753,           0.0099753,           0.0099753
                  12,             0.02376,             0.09899,           0.0021868,             0.86811,             0.79566,             0.86121,             0.62174,            0.012959,            0.040599,          0.00087952,           0.0099702,           0.0099702,           0.0099702
                  13,            0.023672,            0.098636,            0.002117,              0.8492,             0.78949,             0.84389,             0.62349,            0.011951,            0.039715,          0.00076754,           0.0099645,           0.0099645,           0.0099645
                  14,            0.022915,            0.096343,           0.0020842,             0.88072,             0.80515,             0.87409,             0.67065,            0.011219,            0.037498,           0.0007276,           0.0099584,           0.0099584,           0.0099584
                  15,            0.022622,             0.09526,           0.0020519,             0.86959,             0.79411,              0.8585,             0.66391,            0.010851,            0.038254,          0.00079583,           0.0099517,           0.0099517,           0.0099517
                  16,            0.022059,            0.094612,           0.0019409,             0.89034,             0.81465,             0.87161,             0.64933,            0.010917,             0.03715,           0.0007874,           0.0099446,           0.0099446,           0.0099446
                  17,            0.021502,            0.092986,           0.0017858,             0.87443,             0.84771,             0.89101,             0.68771,              0.0109,            0.038327,          0.00068124,            0.009937,            0.009937,            0.009937
                  18,            0.021333,            0.092628,           0.0020318,             0.91717,             0.83095,             0.89433,             0.70071,            0.010001,            0.034683,          0.00074132,           0.0099289,           0.0099289,           0.0099289
                  19,             0.02101,            0.090447,           0.0016841,             0.88153,             0.83707,             0.89233,              0.6884,            0.010561,            0.035803,          0.00071655,           0.0099203,           0.0099203,           0.0099203
                  20,            0.020567,            0.089905,           0.0018047,             0.85803,              0.8282,             0.87685,              0.6983,           0.0096602,            0.035231,          0.00076777,           0.0099112,           0.0099112,           0.0099112
                  21,            0.020511,            0.089078,           0.0016312,             0.89923,             0.81629,             0.88919,             0.70422,           0.0097354,            0.034712,          0.00068233,           0.0099017,           0.0099017,           0.0099017
