               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076931,             0.24015,            0.019814,             0.64922,             0.73299,             0.71455,             0.24338,            0.055158,             0.14616,           0.0078639,           0.0033297,           0.0033297,            0.070032
                   1,            0.054726,             0.22645,            0.010199,             0.75532,             0.79978,             0.81707,             0.33596,            0.049673,             0.13497,            0.005018,           0.0066629,           0.0066629,            0.040032
                   2,            0.052252,             0.22318,           0.0086203,             0.80923,             0.79294,             0.82384,             0.35642,            0.045736,             0.12703,           0.0044085,           0.0099954,           0.0099954,            0.010031
                   3,            0.047941,              0.2144,           0.0077076,             0.85833,             0.80846,             0.86986,              0.4064,            0.040457,              0.1248,           0.0039838,           0.0099978,           0.0099978,           0.0099978
                   4,            0.044403,             0.20874,           0.0070993,             0.90253,             0.85227,             0.92334,             0.46661,            0.038753,             0.11494,           0.0035157,           0.0099978,           0.0099978,           0.0099978
                   5,            0.042975,             0.21299,           0.0068769,             0.87148,             0.84264,             0.92031,             0.49462,            0.037045,             0.11697,           0.0034993,           0.0099961,           0.0099961,           0.0099961
                   6,            0.041768,             0.20614,           0.0066961,             0.84932,              0.8509,             0.92157,             0.48588,            0.036758,             0.11557,           0.0034713,           0.0099938,           0.0099938,           0.0099938
                   7,            0.041084,             0.20427,           0.0063864,             0.89638,             0.89329,             0.94617,             0.51963,            0.034806,             0.11016,           0.0032234,           0.0099911,           0.0099911,           0.0099911
                   8,            0.039928,             0.20195,           0.0063286,             0.88908,             0.84379,             0.91151,             0.47934,            0.035886,             0.11544,           0.0033061,           0.0099879,           0.0099879,           0.0099879
                   9,            0.038855,             0.20082,           0.0060998,             0.87222,             0.86787,             0.92665,             0.52282,            0.033424,             0.11141,           0.0032475,           0.0099842,           0.0099842,           0.0099842
                  10,            0.038149,             0.20075,           0.0060259,             0.88619,             0.86859,             0.92852,             0.51917,            0.033642,             0.11092,            0.003029,             0.00998,             0.00998,             0.00998
                  11,            0.037372,             0.20161,           0.0059236,             0.92826,             0.90369,             0.95738,             0.61374,            0.029217,             0.10407,           0.0028745,           0.0099753,           0.0099753,           0.0099753
                  12,             0.03645,             0.19465,           0.0061158,             0.90426,             0.87905,             0.93814,             0.58884,            0.030423,             0.10466,           0.0029929,           0.0099702,           0.0099702,           0.0099702
                  13,            0.036005,             0.19399,            0.005879,              0.9111,             0.89195,             0.93988,             0.56975,            0.030054,             0.10873,           0.0031146,           0.0099645,           0.0099645,           0.0099645
